line,p,logit,y,p_uncalibrated,p_platt,p_beta,p_isotonic
2,0.9524907469749451,,0,0.9524907469749451,0.680361097497869,0.44392141160301135,0.5494861886617199
2,0.9682283997535706,,0,0.9682283997535706,0.6939976606780806,0.45811710039438946,0.56332561352798
2,0.9998537302017212,,0,0.9998537302017212,0.7203843333353147,0.64033189968214,0.6767285300362552
2,0.5099496245384216,,0,0.5099496245384216,0.263353813052066,0.34970872368326733,0.3953488372093023
2,0.9994814991950989,,0,0.9994814991950989,0.7200819672480029,0.5992894667522599,0.6432498827393742
2,0.9981841444969177,,0,0.9981841444969177,0.719026555463168,0.5571899277192323,0.5896681872599077
2,0.9964583516120911,,0,0.9964583516120911,0.7176188537872408,0.5343392758457939,0.5881505542748463
2,0.9999921321868896,,0,0.9999921321868896,0.7204967073445829,0.7269630014265309,0.7404295051353875
2,0.9999808073043823,,0,0.9999808073043823,0.7204875132659895,0.701923562641642,0.7062630570979527
2,0.9999963045120239,,0,0.9999963045120239,0.7205000945900353,0.7471222913505932,0.7433993399339934
2,0.5910495519638062,,0,0.5910495519638062,0.331442833685993,0.35939482076366747,0.3953488372093023
2,0.9995676875114441,,0,0.9995676875114441,0.7201519964540518,0.6052880423316798,0.6510017040350171
2,0.9999982118606567,,0,0.9999982118606567,0.720501643036731,0.765537648277076,0.7541960353434838
2,0.9999779462814331,,0,0.9999779462814331,0.7204851905221094,0.6979048718935319,0.705656420065583
2,0.9999948740005493,,0,0.9999948740005493,0.7204989332515678,0.7385153017422734,0.7421181109702196
2,0.999983549118042,,0,0.999983549118042,0.7204897392177892,0.7063456192322097,0.706844417587307
2,0.9949104189872742,,0,0.9949104189872742,0.7163525976643393,0.521851167451869,0.586789328585061
2,0.9999978542327881,,0,0.9999978542327881,0.7205013527033756,0.7610014835252789,0.7440476190476191
2,0.9991476535797119,,0,0.9991476535797119,0.7198106119621775,0.5827378821144498,0.613223637181355
2,0.9968834519386292,,0,0.9968834519386292,0.7179659981681031,0.5387300022172223,0.5885243802902314
2,0.8352370262145996,,1,0.8352370262145996,0.5702178929631931,0.3984318443722777,0.4463752558194229
2,0.9999880790710449,,0,0.9999880790710449,0.7204934168535133,0.7154600378934444,0.7230628690829058
2,0.4871674180030823,,0,0.4871674180030823,0.24592736342091628,0.34706389173146907,0.3953488372093023
2,2.122529986081645e-05,,0,2.122529986081645e-05,0.0437590090520909,0.12910953718681348,0.3953488372093023
2,0.9947354197502136,,0,0.9947354197502136,0.7162092273336212,0.5206843395731724,0.5866354372248296
